User,Location,Card Number,Amount,Maximum Amount,Merchant,Transaction Type,Fraudulent
331,Unknown,1.11E+15,5000,5231,Scam Website,Online Purchase,1
332,Unknown,2.22E+15,3500,5231,Fraudulent Business,In-store Purchase,1
333,Unknown,3.33E+15,4100,5231,Bogus Charity,Donation,1
334,Unknown,4.44E+15,5900,5231,Fake Investment Scheme,Online Purchase,1
335,Unknown,5.56E+15,700,5231,Non-existent Store,In-store Purchase,1
336,Unknown,6.67E+15,850,5231,Unauthorized Vendor,In-store Purchase,1
337,Unknown,7.78E+15,920,5231,Phony Service Provider,Online Purchase,1
338,Unknown,8.89E+15,1100,5231,Fraudulent Lottery,Gambling,1
339,Unknown,1.00E+16,1300,5231,Scam Call,Fraud,1
340,Unknown,1.23E+15,1800,5231,Fake Prize,Scam,1
341,Unknown,2.35E+15,2000,5231,Ponzi Scheme,Investment,1
342,Unknown,3.46E+15,2400,5231,Counterfeit Goods,In-store Purchase,1
343,Unknown,4.57E+15,2800,5231,Fake Credentials,Fraud,1
344,Unknown,5.68E+15,3100,5231,Identity Theft,Fraud,1
345,Unknown,6.79E+15,3500,5231,Phishing Email,Fraud,1
346,Unknown,7.89E+15,3900,5231,Fake Check,Fraud,1
347,Unknown,8.90E+15,4100,5231,Deceptive Advertising,Fraud,1
348,Unknown,9.01E+15,4700,5231,Phony Investment,Scam,1
349,Unknown,1.23E+14,5000,5231,Fake Prescription,Fraud,1
350,Unknown,1.23E+15,5500,5231,False Advertising,Fraud,1
351,Buenos Aires,60200000000,2000,3700,Online Retailer,Online Purchase,1
352,Cape Town,60200000000,2001,3701,Electronics Store,In-store Purchase,1
353,Toronto,60200000000,2002,3702,Cafe,In-store Purchase,1
354,Dubai,60200000000,2003,3703,Grocery Store,In-store Purchase,1
355,Paris,60200000000,2004,3704,Gas Station,ATM Withdrawal,1
356,Unknown,0,2005,3705,Scam Website,Online Purchase,1
357,Buenos Aires,60200000000,2006,3706,Online Retailer,Online Purchase,1
358,Cape Town,60200000000,2007,3707,Electronics Store,In-store Purchase,1
359,Toronto,60200000000,2008,3708,Cafe,In-store Purchase,1
360,Dubai,60200000000,2009,3709,Grocery Store,In-store Purchase,1
361,Paris,60200000000,2010,3710,Gas Station,ATM Withdrawal,1
362,Unknown,0,2011,3711,Scam Website,Online Purchase,1
363,Buenos Aires,60200000000,2012,3712,Online Retailer,Online Purchase,1
364,Cape Town,60200000000,2013,3713,Electronics Store,In-store Purchase,1
365,Toronto,60200000000,2014,3714,Cafe,In-store Purchase,1
366,Dubai,60200000000,2015,3715,Grocery Store,In-store Purchase,1
367,Paris,60200000000,2016,3716,Gas Station,ATM Withdrawal,1
368,Unknown,0,2017,3717,Scam Website,Online Purchase,1
369,Buenos Aires,60200000000,2018,3718,Online Retailer,Online Purchase,1
370,Cape Town,60200000000,2019,3719,Electronics Store,In-store Purchase,1
371,Toronto,60200000000,2020,3720,Cafe,In-store Purchase,1
372,Dubai,60200000000,2021,3721,Grocery Store,In-store Purchase,1
373,Paris,60200000000,2022,3722,Gas Station,ATM Withdrawal,1
374,Unknown,0,2023,3723,Scam Website,Online Purchase,1
375,Buenos Aires,60200000000,2024,3724,Online Retailer,Online Purchase,1
376,Cape Town,60200000000,2025,3725,Electronics Store,In-store Purchase,1
377,Toronto,60200000000,2026,3726,Cafe,In-store Purchase,1
378,Dubai,60200000000,2027,3727,Grocery Store,In-store Purchase,1
379,Paris,60200000000,2028,3728,Gas Station,ATM Withdrawal,1
380,Unknown,0,2029,3729,Scam Website,Online Purchase,1
381,Buenos Aires,60200000000,2030,3730,Online Retailer,Online Purchase,1
382,Cape Town,60200000000,2031,3731,Electronics Store,In-store Purchase,1
383,Toronto,60200000000,2032,3732,Cafe,In-store Purchase,1
384,Dubai,60200000000,2033,3733,Grocery Store,In-store Purchase,1
385,Paris,60200000000,2034,3734,Gas Station,ATM Withdrawal,1
386,Unknown,0,2035,3735,Scam Website,Online Purchase,1
387,Buenos Aires,60200000000,2036,3736,Online Retailer,Online Purchase,1
388,Cape Town,60200000000,2037,3737,Electronics Store,In-store Purchase,1
389,Toronto,60200000000,2038,3738,Cafe,In-store Purchase,1
390,Dubai,60200000000,2039,3739,Grocery Store,In-store Purchase,1
391,Paris,60200000000,2040,3740,Gas Station,ATM Withdrawal,1
392,Unknown,0,2041,3741,Scam Website,Online Purchase,1
393,Buenos Aires,60200000000,2042,3742,Online Retailer,Online Purchase,1
394,Cape Town,60200000000,2043,3743,Electronics Store,In-store Purchase,1
395,Toronto,60200000000,2044,3744,Cafe,In-store Purchase,1
396,Dubai,60200000000,2045,3745,Grocery Store,In-store Purchase,1
397,Paris,60200000000,2046,3746,Gas Station,ATM Withdrawal,1
398,Unknown,0,2047,3747,Scam Website,Online Purchase,1
399,Buenos Aires,60200000000,2048,3748,Online Retailer,Online Purchase,1
400,Cape Town,60200000000,2049,3749,Electronics Store,In-store Purchase,1
401,Toronto,60200000000,2050,3750,Cafe,In-store Purchase,1
402,Dubai,60200000000,2051,3751,Grocery Store,In-store Purchase,1
403,Paris,60200000000,2052,3752,Gas Station,ATM Withdrawal,1
404,Unknown,0,2053,3753,Scam Website,Online Purchase,1
405,Buenos Aires,60200000000,2054,3754,Online Retailer,Online Purchase,1
406,Cape Town,60200000000,2055,3755,Electronics Store,In-store Purchase,1
407,Toronto,60200000000,2056,3756,Cafe,In-store Purchase,1
408,Dubai,60200000000,2057,3757,Grocery Store,In-store Purchase,1
409,Paris,60200000000,2058,3758,Gas Station,ATM Withdrawal,1
410,Unknown,0,2059,3759,Scam Website,Online Purchase,1
411,Unknown,60200000000,2060,3760,Online Retailer,Online Purchase,1
412,Unknown,60200000000,2061,3761,Electronics Store,In-store Purchase,1
413,Unknown,60200000000,2062,3762,Cafe,In-store Purchase,1
414,Unknown,60200000000,2063,3763,Grocery Store,In-store Purchase,1
415,Unknown,60200000000,2064,3764,Gas Station,ATM Withdrawal,1
416,Unknown,0,2065,3765,Scam Website,Online Purchase,1
417,Unknown,60200000000,2066,3766,Online Retailer,Online Purchase,1
418,Unknown,60200000000,2067,3767,Electronics Store,In-store Purchase,1
419,Unknown,60200000000,2068,3768,Cafe,In-store Purchase,1
420,Unknown,60200000000,2069,3769,Grocery Store,In-store Purchase,1
421,Unknown,60200000000,2070,3770,Gas Station,ATM Withdrawal,1
422,Unknown,0,2071,3771,Scam Website,Online Purchase,1
423,Unknown,60200000000,2072,3772,Online Retailer,Online Purchase,1
424,Unknown,60200000000,2073,3773,Electronics Store,In-store Purchase,1
425,Unknown,60200000000,2074,3774,Cafe,In-store Purchase,1
426,Unknown,60200000000,2075,3775,Grocery Store,In-store Purchase,1
427,Unknown,60200000000,2076,3776,Gas Station,ATM Withdrawal,1
428,Unknown,0,2077,3777,Scam Website,Online Purchase,1
429,Unknown,60200000000,2078,3778,Online Retailer,Online Purchase,1
430,Unknown,60200000000,2079,3779,Electronics Store,In-store Purchase,1
431,Unknown,60200000000,2080,3780,Cafe,In-store Purchase,1
432,Unknown,60200000000,2081,3781,Grocery Store,In-store Purchase,1
433,Unknown,60200000000,2082,3782,Gas Station,ATM Withdrawal,1
434,Unknown,0,2083,3783,Scam Website,Online Purchase,1
435,Unknown,60200000000,2084,3784,Online Retailer,Online Purchase,1
436,Unknown,60200000000,2085,3785,Electronics Store,In-store Purchase,1
437,Unknown,60200000000,2086,3786,Cafe,In-store Purchase,1
438,Unknown,60200000000,2087,3787,Grocery Store,In-store Purchase,1
439,Unknown,60200000000,2088,3788,Gas Station,ATM Withdrawal,1
440,Unknown,0,2089,3789,Scam Website,Online Purchase,1
441,Unknown,60200000000,2090,3790,Online Retailer,Online Purchase,1
442,Unknown,60200000000,2091,3791,Electronics Store,In-store Purchase,1
443,Unknown,60200000000,2092,3792,Cafe,In-store Purchase,1
444,Unknown,60200000000,2093,3793,Grocery Store,In-store Purchase,1
445,Unknown,60200000000,2094,3794,Gas Station,ATM Withdrawal,1
446,Unknown,0,2095,3795,Scam Website,Online Purchase,1
447,Unknown,60200000000,2096,3796,Online Retailer,Online Purchase,1
448,Unknown,60200000000,2097,3797,Electronics Store,In-store Purchase,1
449,Unknown,60200000000,2098,3798,Cafe,In-store Purchase,1
450,Unknown,60200000000,2099,3799,Grocery Store,In-store Purchase,1
451,Unknown,60200000000,2100,3800,Gas Station,ATM Withdrawal,1
452,Unknown,0,2101,3801,Scam Website,Online Purchase,1
453,Unknown,60200000000,2102,3802,Online Retailer,Online Purchase,1
454,Unknown,60200000000,2103,3803,Electronics Store,In-store Purchase,1
455,Unknown,60200000000,2104,3804,Cafe,In-store Purchase,1
456,Unknown,60200000000,2105,3805,Grocery Store,In-store Purchase,1
457,Unknown,60200000000,2106,3806,Gas Station,ATM Withdrawal,1
458,Unknown,0,2107,3807,Scam Website,Online Purchase,1
459,Unknown,60200000000,2108,3808,Online Retailer,Online Purchase,1
460,Unknown,60200000000,2109,3809,Electronics Store,In-store Purchase,1
461,Unknown,60200000000,2110,3810,Cafe,In-store Purchase,1
462,Dubai,60200000000,2111,3811,Grocery Store,In-store Purchase,1
463,Paris,60200000000,2112,3812,Gas Station,ATM Withdrawal,1
464,Unknown,0,2113,3813,Scam Website,Online Purchase,1
465,Buenos Aires,60200000000,2114,3814,Online Retailer,Online Purchase,1
466,Cape Town,60200000000,2115,3815,Electronics Store,In-store Purchase,1
467,Toronto,60200000000,2116,3816,Cafe,In-store Purchase,1
468,Dubai,60200000000,2117,3817,Grocery Store,In-store Purchase,1
469,Paris,60200000000,2118,3818,Gas Station,ATM Withdrawal,1
470,Unknown,0,2119,3819,Scam Website,Online Purchase,1
471,San Francisco,4.57E+11,60,2000,Grocery Store,In-store Purchase,0
472,Paris,5.68E+11,61,2001,Bakery,In-store Purchase,0
473,Tokyo,6.79E+11,62,2002,Clothing Store,In-store Purchase,0
474,Sydney,7.89E+11,63,2003,Pharmacy,In-store Purchase,0
475,London,8.90E+11,64,2004,Electronics Store,In-store Purchase,0
476,New York,9.01E+11,65,2005,Coffee Shop,In-store Purchase,0
477,Los Angeles,12345678901,66,2006,Restaurant,In-store Purchase,0
478,Beijing,1.23E+11,67,2007,Supermarket,In-store Purchase,0
479,Mumbai,2.35E+11,68,2008,Department Store,In-store Purchase,0
480,Berlin,3.46E+11,69,2009,Convenience Store,In-store Purchase,0
481,Rome,4.57E+11,70,2010,Bookstore,In-store Purchase,0
482,Shanghai,5.68E+11,71,2011,Gas Station,In-store Purchase,0
483,Moscow,6.79E+11,72,2012,Home Improvement Store,In-store Purchase,0
484,Toronto,7.89E+11,73,2013,Fast Food,In-store Purchase,0
485,Seoul,8.90E+11,74,2014,Electronics Store,In-store Purchase,0
486,Barcelona,9.01E+11,75,2015,Bakery,In-store Purchase,0
487,Istanbul,12345678901,76,2016,Pharmacy,In-store Purchase,0
488,Sao Paulo,1.23E+11,77,2017,Clothing Store,In-store Purchase,0
489,Mexico City,2.35E+11,78,2018,Coffee Shop,In-store Purchase,0
490,Cairo,3.46E+11,79,2019,Restaurant,In-store Purchase,0
491,Bangkok,4.57E+11,80,2020,Convenience Store,In-store Purchase,0
492,Buenos Aires,5.68E+11,81,2021,Bookstore,In-store Purchase,0
493,Jakarta,6.79E+11,82,2022,Supermarket,In-store Purchase,0
494,Karachi,7.89E+11,83,2023,Gas Station,In-store Purchase,0
495,Lagos,8.90E+11,84,2024,Department Store,In-store Purchase,0
496,Delhi,9.01E+11,85,2025,Fast Food,In-store Purchase,0
497,Manila,12345678901,86,2026,Home Improvement Store,In-store Purchase,0
498,Rio de Janeiro,1.23E+11,87,2027,Pharmacy,In-store Purchase,0
499,Lahore,2.35E+11,88,2028,Electronics Store,In-store Purchase,0
500,Wuhan,3.46E+11,89,2029,Bakery,In-store Purchase,0
501,Dhaka,4.57E+11,90,2030,Coffee Shop,In-store Purchase,0
502,Osaka,5.68E+11,91,2031,Restaurant,In-store Purchase,0
503,Kolkata,6.79E+11,92,2032,Convenience Store,In-store Purchase,0
504,Cairo,7.89E+11,93,2033,Bookstore,In-store Purchase,0
505,Tehran,8.90E+11,94,2034,Clothing Store,In-store Purchase,0
506,Mumbai,9.01E+11,95,2035,Grocery Store,In-store Purchase,0
507,Bangkok,12345678901,96,2036,Gas Station,In-store Purchase,0
508,Istanbul,1.23E+11,97,2037,Department Store,In-store Purchase,0
509,Lagos,2.35E+11,98,2038,Coffee Shop,In-store Purchase,0
510,Rio de Janeiro,3.46E+11,99,2039,Electronics Store,In-store Purchase,0
511,Manila,4.57E+11,100,2040,Bakery,In-store Purchase,0
512,Wuhan,5.68E+11,101,2041,Pharmacy,In-store Purchase,0
513,Dhaka,6.79E+11,102,2042,Fast Food,In-store Purchase,0
514,Osaka,7.89E+11,103,2043,Home Improvement Store,In-store Purchase,0
515,Kolkata,8.90E+11,104,2044,Bookstore,In-store Purchase,0
516,Tehran,9.01E+11,105,2045,Clothing Store,In-store Purchase,0
517,Mumbai,12345678901,106,2046,Grocery Store,In-store Purchase,0
518,Bangkok,1.23E+11,107,2047,Gas Station,In-store Purchase,0
519,Istanbul,2.35E+11,108,2048,Department Store,In-store Purchase,0
520,Lagos,3.46E+11,109,2049,Coffee Shop,In-store Purchase,0
521,Rio de Janeiro,4.57E+11,110,2050,Electronics Store,In-store Purchase,0
522,Manila,5.68E+11,111,2051,Bakery,In-store Purchase,0
523,Wuhan,6.79E+11,112,2052,Pharmacy,In-store Purchase,0
524,Dhaka,7.89E+11,113,2053,Fast Food,In-store Purchase,0
525,Osaka,8.90E+11,114,2054,Home Improvement Store,In-store Purchase,0
526,Kolkata,9.01E+11,115,2055,Bookstore,In-store Purchase,0
527,Tehran,12345678901,116,2056,Clothing Store,In-store Purchase,0
528,Mumbai,1.23E+11,117,2057,Grocery Store,In-store Purchase,0
529,Bangkok,2.35E+11,118,2058,Gas Station,In-store Purchase,0
530,Istanbul,3.46E+11,119,2059,Department Store,In-store Purchase,0
531,Lagos,4.57E+11,120,2060,Coffee Shop,In-store Purchase,0
532,Rio de Janeiro,5.68E+11,121,2061,Electronics Store,In-store Purchase,0
533,Manila,6.79E+11,122,2062,Bakery,In-store Purchase,0
534,Wuhan,7.89E+11,123,2063,Pharmacy,In-store Purchase,0
535,Dhaka,8.90E+11,124,2064,Fast Food,In-store Purchase,0
536,Osaka,9.01E+11,125,2065,Home Improvement Store,In-store Purchase,0
537,Kolkata,12345678901,126,2066,Bookstore,In-store Purchase,0
538,Tehran,1.23E+11,127,2067,Clothing Store,In-store Purchase,0
539,Mumbai,2.35E+11,128,2068,Grocery Store,In-store Purchase,0
540,Bangkok,3.46E+11,129,2069,Gas Station,In-store Purchase,0
541,Istanbul,4.57E+11,130,2070,Department Store,In-store Purchase,0
542,Lagos,5.68E+11,131,2071,Coffee Shop,In-store Purchase,0
543,Rio de Janeiro,6.79E+11,132,2072,Electronics Store,In-store Purchase,0
544,Manila,7.89E+11,133,2073,Bakery,In-store Purchase,0
545,Wuhan,8.90E+11,134,2074,Pharmacy,In-store Purchase,0
546,Tokyo,9.01235E+11,70,2000,Coffee Shop,In-store Purchase,0
547,Sydney,12345678901,71,2001,Bakery,In-store Purchase,0
548,London,1.23457E+11,72,2002,Department Store,In-store Purchase,0
549,New York,2.34568E+11,73,2003,Grocery Store,In-store Purchase,0
550,Los Angeles,3.45679E+11,74,2004,Restaurant,In-store Purchase,0
551,Beijing,4.56789E+11,75,2005,Clothing Store,In-store Purchase,0
552,Mumbai,5.6789E+11,76,2006,Electronics Store,In-store Purchase,0
553,Paris,6.78901E+11,77,2007,Pharmacy,In-store Purchase,0
554,Seoul,7.89012E+11,78,2008,Gas Station,In-store Purchase,0
555,Moscow,8.90123E+11,79,2009,Convenience Store,In-store Purchase,0
556,Bangkok,9.01235E+11,80,2010,Bookstore,In-store Purchase,0
557,Istanbul,12345678901,81,2011,Supermarket,In-store Purchase,0
558,Mexico City,1.23457E+11,82,2012,Home Improvement Store,In-store Purchase,0
559,Jakarta,2.34568E+11,83,2013,Fast Food,In-store Purchase,0
560,Cairo,3.45679E+11,84,2014,Bakery,In-store Purchase,0
561,Buenos Aires,4.56789E+11,85,2015,Coffee Shop,In-store Purchase,0
562,Lagos,5.6789E+11,86,2016,Restaurant,In-store Purchase,0
563,Delhi,6.78901E+11,87,2017,Grocery Store,In-store Purchase,0
564,Shanghai,7.89012E+11,88,2018,Clothing Store,In-store Purchase,0
565,Sao Paulo,8.90123E+11,89,2019,Electronics Store,In-store Purchase,0
566,Karachi,9.01235E+11,90,2020,Pharmacy,In-store Purchase,0
567,Manila,12345678901,91,2021,Gas Station,In-store Purchase,0
568,Seoul,1.23457E+11,92,2022,Convenience Store,In-store Purchase,0
569,Lagos,2.34568E+11,93,2023,Bookstore,In-store Purchase,0
570,Mumbai,3.45679E+11,94,2024,Supermarket,In-store Purchase,0
571,Mexico City,4.56789E+11,95,2025,Home Improvement Store,In-store Purchase,0
572,Jakarta,5.6789E+11,96,2026,Fast Food,In-store Purchase,0
573,Cairo,6.78901E+11,97,2027,Bakery,In-store Purchase,0
574,Buenos Aires,7.89012E+11,98,2028,Coffee Shop,In-store Purchase,0
575,Lagos,8.90123E+11,99,2029,Restaurant,In-store Purchase,0
576,Delhi,9.01235E+11,100,2030,Grocery Store,In-store Purchase,0
577,Shanghai,12345678901,101,2031,Clothing Store,In-store Purchase,0
578,Sao Paulo,1.23457E+11,102,2032,Electronics Store,In-store Purchase,0
579,Karachi,2.34568E+11,103,2033,Pharmacy,In-store Purchase,0
580,Manila,3.45679E+11,104,2034,Gas Station,In-store Purchase,0
581,Seoul,4.56789E+11,105,2035,Convenience Store,In-store Purchase,0
582,Lagos,5.6789E+11,106,2036,Bookstore,In-store Purchase,0
583,Mumbai,6.78901E+11,107,2037,Supermarket,In-store Purchase,0
584,Mexico City,7.89012E+11,108,2038,Home Improvement Store,In-store Purchase,0
585,Jakarta,8.90123E+11,109,2039,Fast Food,In-store Purchase,0
586,Cairo,9.01235E+11,110,2040,Bakery,In-store Purchase,0
587,Buenos Aires,12345678901,111,2041,Coffee Shop,In-store Purchase,0
588,Lagos,1.23457E+11,112,2042,Restaurant,In-store Purchase,0
589,Delhi,2.34568E+11,113,2043,Grocery Store,In-store Purchase,0
590,Shanghai,3.45679E+11,114,2044,Clothing Store,In-store Purchase,0
591,Sao Paulo,4.56789E+11,115,2045,Electronics Store,In-store Purchase,0
592,Karachi,5.6789E+11,116,2046,Pharmacy,In-store Purchase,0
593,Manila,6.78901E+11,117,2047,Gas Station,In-store Purchase,0
594,Seoul,7.89012E+11,118,2048,Convenience Store,In-store Purchase,0
595,Lagos,8.90123E+11,119,2049,Bookstore,In-store Purchase,0
596,Mumbai,9.01235E+11,120,2050,Supermarket,In-store Purchase,0
597,Mexico City,12345678901,121,2051,Home Improvement Store,In-store Purchase,0
598,Jakarta,1.23457E+11,122,2052,Fast Food,In-store Purchase,0
599,Cairo,2.34568E+11,123,2053,Bakery,In-store Purchase,0
600,Buenos Aires,3.45679E+11,124,2054,Coffee Shop,In-store Purchase,0
